Price,Address,Property Details,Sellers Details
"$529,800","804 Bell Drive, Rocky Mount, NC 27803","4bds4ba3,689sqft- House for sale",WPI REALTY LLC
"$995,000","2325 S Halifax Road, Rocky Mount, NC 27803","4bds2ba2,266sqft- House for sale",WILLIAM SOLOMON'S INSURANCE & REALTY
"$679,900","3400 West Hampton Drive, Rocky Mount, NC 27804","4bds3ba3,131sqft- New construction","Four Seasons Contractors, FOUR SEASONS SALES"
"$180,000","601 Starling Way, Rocky Mount, NC 27803",3bds2ba976sqft- House for sale,
"$429,900","38 Country Club Drive, Rocky Mount, NC 27804","3bds2ba2,152sqft- House for sale",WPI REALTY LLC
"$232,990","111 Glory Drive, Rocky Mount, NC 27801","3bds3ba1,404sqft- New construction",WJH BROKERAGE NC LLC
"$140,000","425 Henry St, Rocky Mount, NC 27803",2bds1ba754sqft- House for sale,
"$265,999","109 Ambergate Court, Rocky Mount, NC 27804","3bds2ba1,380sqft- New construction",RE/MAXDIAMOND REALTY
"$13,000","109 E Holly Street, Rocky Mount, NC 27801","10,019 sqft lot- Lot / Land for sale",BEYCOME BROKERAGE REALTY LLC
"$479,900","4001 Newby Road, Rocky Mount, NC 27804","4bds3ba2,765sqft- New construction","BOONE, HILL, ALLEN & RICKS"
"$49,900","905 Shearin St, Rocky Mount, NC 27801","2bds1ba1,200sqft- House for sale",
"$379,900","113 Vineyard Court, Rocky Mount, NC 27803","3bds3ba2,207sqft- New construction","BOONE, HILL, ALLEN & RICKS"
"$238,990","103 Glory Drive, Rocky Mount, NC 27801","3bds3ba1,404sqft- New construction",WJH BROKERAGE NC LLC
"$429,900","38 Country Club Drive, Rocky Mount, NC 27804","3bds2ba2,152sqft- House for sale",WPI REALTY LLC
"$232,990","111 Glory Drive, Rocky Mount, NC 27801","3bds3ba1,404sqft- New construction",WJH BROKERAGE NC LLC
"$140,000","425 Henry St, Rocky Mount, NC 27803",2bds1ba754sqft- House for sale,
"$265,999","109 Ambergate Court, Rocky Mount, NC 27804","3bds2ba1,380sqft- New construction",RE/MAXDIAMOND REALTY
"$13,000","109 E Holly Street, Rocky Mount, NC 27801","10,019 sqft lot- Lot / Land for sale",BEYCOME BROKERAGE REALTY LLC
"$479,900","4001 Newby Road, Rocky Mount, NC 27804","4bds3ba2,765sqft- New construction","BOONE, HILL, ALLEN & RICKS"
"$49,900","905 Shearin St, Rocky Mount, NC 27801","2bds1ba1,200sqft- House for sale",
"$379,900","113 Vineyard Court, Rocky Mount, NC 27803","3bds3ba2,207sqft- New construction","BOONE, HILL, ALLEN & RICKS"
"$238,990","103 Glory Drive, Rocky Mount, NC 27801","3bds3ba1,404sqft- New construction",WJH BROKERAGE NC LLC
"$429,900","38 Country Club Drive, Rocky Mount, NC 27804","3bds2ba2,152sqft- House for sale",WPI REALTY LLC
"$232,990","111 Glory Drive, Rocky Mount, NC 27801","3bds3ba1,404sqft- New construction",WJH BROKERAGE NC LLC
"$140,000","425 Henry St, Rocky Mount, NC 27803",2bds1ba754sqft- House for sale,
"$265,999","109 Ambergate Court, Rocky Mount, NC 27804","3bds2ba1,380sqft- New construction",RE/MAXDIAMOND REALTY
"$13,000","109 E Holly Street, Rocky Mount, NC 27801","10,019 sqft lot- Lot / Land for sale",BEYCOME BROKERAGE REALTY LLC
"$479,900","4001 Newby Road, Rocky Mount, NC 27804","4bds3ba2,765sqft- New construction","BOONE, HILL, ALLEN & RICKS"
"$49,900","905 Shearin St, Rocky Mount, NC 27801","2bds1ba1,200sqft- House for sale",
"$379,900","113 Vineyard Court, Rocky Mount, NC 27803","3bds3ba2,207sqft- New construction","BOONE, HILL, ALLEN & RICKS"
"$238,990","103 Glory Drive, Rocky Mount, NC 27801","3bds3ba1,404sqft- New construction",WJH BROKERAGE NC LLC
